Country,GreenGalDay,BlueGalDay,GreyGalDay
Albania,792.4369052461,120.3514828437,54.9665219498
Algeria,966.333315224,100.8442690452,50.1052010578
Angola,656.2859088222,20.4112437005,11.2374886359
Antigua and Barbuda,882.3775658115,64.2351247308,54.1569717642
Argentina,957.8055698373,66.4788504354,35.0286879715
Armenia,699.5227910923,105.934639455,48.9650430231
Australia,1341.3110978013,133.2244327627,65.8566368676
Austria,821.0291225689,47.8907787461,96.5798627888
Azerbaijan,593.9178043124,134.112656241,19.2781779005
Bahamas,1121.5796514574,101.3991009047,98.9083043084
Bangladesh,416.8843222148,55.5425660526,60.875778082
Barbados,1081.4720484715,79.4431527184,105.2799725895
Belarus,945.8957126174,32.5330473459,152.0203402981
Belgium,879.8788172665,67.1265540859,77.6508164814
Belize,923.2701220017,36.5382072307,197.1317178048
Benin,787.0525047508,15.2405747518,9.9836800133
Bermuda,1240.3141957383,110.0491165081,96.4840372668
Bolivia,2431.7398631753,43.143604334,14.089853113
Bosnia and Herzegovina,772.4407386703,20.9691592038,69.6066312499
Botswana,1276.5072056791,136.0245966333,24.8485992971
Brazil,1305.9544298461,43.6494718088,44.5029878875
Brunei Darussalam,2042.4017918701,236.8954063884,122.4485367172
Bulgaria,1309.4340637623,38.178352981,104.467045384
Burkina Faso,1185.145400109,21.8474287094,17.4886392436
Burundi,499.7577477979,11.1078639719,1.5372218689
Cambodia,726.2675248752,44.6302549376,4.5514384302
Cameroon,855.7126485621,21.8605718837,11.1331436498
Canada,1158.0351524895,61.8150183065,147.1172137388
Cape Verde,792.0743110903,62.4564636661,33.6991294339
Central African Republic,841.2005462005,15.6727909962,2.235318716
Chad,1036.8998342418,16.2378872916,1.0010813783
Chile,563.6299961584,111.1382236575,100.7626517681
China,507.0049408221,79.1344343208,126.8789930166
Colombia,811.6804817082,37.609582217,36.4952340674
Comoros,875.3861254683,62.849952366,13.1777267556
"Congo, Dem Republic",390.823198794,3.6562491616,2.0698173042
"Congo, Republic",505.1226478966,39.2217554208,16.237328774
Costa Rica,749.9337841662,61.197642511,62.0245550192
Côte d'Ivoire,871.4086259707,31.0732935407,19.6211920626
Croatia,980.6782183896,21.0795015047,134.4124443609
Cuba,987.8390994088,62.678677055,49.2761010114
Cyprus,1217.5570566319,236.9034949607,89.9784103379
Czech Republic,895.0878895442,41.3950395947,137.4946926329
Denmark,884.4852260677,50.7234889848,97.1093177661
Dominica,1832.308669697,57.9413608713,50.2787273183
Dominican Republic,801.196028264,84.295600758,31.9683292605
East Timor   ,1299.9221909971,38.7788749394,9.8295784711
Ecuador,1149.2338518149,92.1098741355,40.8032557861
Egypt,350.6697171348,373.7258529699,153.559624353
El Salvador,599.4237829769,31.2674416938,51.192099049
Eritrea,743.4197563009,20.8618176047,16.2543205474
Estonia,951.3438053823,100.7676972934,81.6630104927
Ethiopia,816.4851651579,17.7281958136,5.9278505156
Fiji Islands,1165.6759777686,42.0414648531,34.3902464245
Finland,765.1623471561,35.5587420533,41.8578411883
France,979.5712840168,72.4780401774,71.0094625996
French Polynesia,1113.051106188,100.1147778007,64.3063428608
Gabon,934.7244013035,46.8229980247,26.6652334591
Gambia,570.4773263394,38.6201299364,25.2338875204
Georgia,1307.9353486867,79.8817010367,52.0680671107
Germany,762.3431755915,41.9143239759,107.2461075367
Ghana,831.6225920286,16.3235004872,10.4621192156
Greece,1195.6762744591,218.8287422424,120.2310422541
Grenada,1378.091922058,66.7773613059,82.2948005701
Guatemala,614.4881947471,22.2181458811,50.728062339
Guinea,1118.1119850033,22.7153409148,9.2064067913
Guinea-Bissau,767.1623305574,74.6335774767,8.0267707725
Guyana,876.9605509003,85.8916107139,111.8476298357
Haiti,667.2429909313,54.6646928739,17.2895383372
Honduras,750.3471380809,32.8016363543,51.8527012561
Hungary,1386.9746311273,30.2985757371,162.4537543291
Iceland,1073.5928933439,59.5479517412,67.9885852934
India,512.3366597228,153.8861410947,67.618331861
Indonesia,675.014329951,50.3571774211,61.2546582632
Iran,751.9154295132,418.6225525043,99.7543040535
