code,Name,Meat,Animal,Beverage
20120,"Beef cuts bone in, fresh or chilled",1,1,
20130,"Beef cuts boneless, fresh or chilled",1,1,
20220,"Beef cuts bone in, frozen",1,1,
20230,Beef cuts boneless forzen,1,1,
20312,"Ham and pork shoulder, fresh or chilled",1,1,
20319,"Pork cuts, fresh or chilled",1,1,
20322,"Ham and pork shoulder, frozen",1,1,
20329,"Pork cuts, frozen",1,1,
20422,"Sheep cuts, bone in, fresh or chilled",1,1,
20423,"Sheep cuts, boneless, fresh or chilled",1,1,
20442,"Sheep cuts, bone in, frozen",1,1,
20443,"Sheep cuts, boneless, frozen",1,1,
20450,"Goat mean, fresh, chilled, or frozen",1,1,
21011,"Ham and pork cuts, cured",1,1,
40110,Milk (1% or less),,1,
40120,Milk (1-6% fat),,1,
40130,Milk and cream (>6% fat),,1,
40291,"Milk and cream, unsweetened",,1,
40299,Milk and cream sweetened,,1,
40310,Yogurt,,1,
40390,Buttermilk,,1,
40410,Whey,,1,
40490,Milk products,,1,
40510,Butter,,1,
40610,"Cheese, fresh",,1,
40620,"Cheese, powdered or grated",,1,
40630,"Cheese, processed",,1,
40690,Other cheese,,1,
40700,Eggs,,1,
40819,Egg yolks,,1,
70190,Potatoes,,,
70200,Tomatoes,,,
070200a,"Tomato juice, concentrated",,,
070200b,Tomato paste,,,
070200c,Tomato ketchup,,,
070200d,Tomato puree,,,
070200e,Peeled tomatoes,,,
070200f,"Tomato, dried",,,
70310,"Onions and shallots, fresh or chilled",,,
70320,Garlic,,,
070320a,Garlic powder,,,
70410,Cauliflowers and broccoli,,,
70420,"Brussels sprouts, fresh or chilled",,,
70490,"Cabbages, kohlrabi, kale, and other brassicas",,,
70511,Head lettuce,,,
70519,"Lettuce, fresh or chilled",,,
70610,Carrots and turnips,,,
70690,Beetroot and radish,,,
70700,Cucumbers and gherkins,,,
70810,"Peas, green",,,
70820,"Beans, green",,,
070820_b,String beans,,,
70910,Artichokes,,,
70920,Asparagus,,,
70930,Eggplants (aubergines),,,
70940,Celery,,,
70960,"Chillies and peppers, green",,,
70970,Spinach,,,
70990,Other vegetables,,,
070990_b,"Pumpkins, squash and gourds",,,
070990_d,Peppermint,,,
070990aa,Olives,,,
070990ca,"Maize, green",,,
070990cb,Okra,,,
71010,"Potatoes, frozen",,,
71021,"Peas, frozen",,,
71022,"Beans, frozen",,,
71030,"Spinach, frozen",,,
71040,"Sweet corn, frozen",,,
71090,"Mixed vegetables, frozen",,,
71220,"Onions, dry",,,
71310,Peas,,,
71320,Chickpeas or garbanzo beans,,,
07133_b,Cow peas,,,
71331,Mung beans,,,
71332,Red beans,,,
71333,Kidney beans,,,
71340,Lentils,,,
71350,Broad beans,,,
071390aa,Pigeon peas,,,
071390ab,Lupins,,,
071390ac,Vetches,,,
071390ad,Bambara beans,,,
071390ae,Pulses,,,
71410,Cassava,,,
71420,Sweet potatoes,,,
071490_a,Yams,,,
071490_bb,Taro (coco yam),,,
071490_bc,Other roots and tubers,,,
071490ba,Yautia (cocoyam),,,
80119,Coconuts,,,
80121,"Brazil nuts, with shell",,,
080131_a,Cashew nuts,,,
80211,"Almonds, with shell",,,
80212,Almonds,,,
80221,"Hazelnuts, with shell",,,
80222,Hazelnuts,,,
80231,"Walnuts, with shell",,,
80232,Walnuts,,,
80240,Chestnuts,,,
80250,Pistachios,,,
80290,Other nuts,,,
080290aa,Kolanuts,,,
080290ab,Arecanuts,,,
