"ID","Name","mm_yr","lat","long"
1611400,"Nawiliwili, HI",1.41,21.9544,-159.3561
1612340,"Honolulu, HI",1.41,21.3067,-157.867
1612480,"Mokuoloe, HI",1.12,21.4331,-157.79
1615680,"Kahului, HI",2.02,20.895,-156.4767
1617760,"Hilo, HI",2.95,19.7303,-155.0558
1619000,"Johnston Atoll",0.75,16.7383,-169.53
1619910,"Midway Atoll",1.25,28.2117,-177.36
1630000,"Apra Harbor, Guam",7.23,13.4387,144.6539
1770000,"Pago Pago, American Samoa",2.21,-14.28,-170.69
1820000,"Kwajalein",2.32,8.7316,167.7362
1840000,"Chuuk",0.6,7.4467,151.847
1890000,"Wake Island",1.99,19.29,166.618
2695540,"Bermuda, Atlantic Ocean",2.03,32.3734,-64.7033
8410140,"Eastport, ME",2.14,44.9046,-66.9829
8413320,"Bar Harbor, ME",2.22,44.3917,-68.205
8418150,"Portland, ME",1.9,43.6567,-70.2467
8419870,"Seavey Island, ME",1.76,43.08,-70.7417
8443970,"Boston, MA",2.81,42.3548,-71.0534
8447930,"Woods Hole, MA",2.83,41.5233,-70.6717
8449130,"Nantucket Island, MA",3.58,41.285,-70.0967
8452660,"Newport, RI",2.74,41.505,-71.3267
8454000,"Providence, RI",2.25,41.8071,-71.4012
8461490,"New London, CT",2.58,41.3614,-72.09
8467150,"Bridgeport, CT",2.87,41.1733,-73.1817
8510560,"Montauk, NY",3.24,41.0483,-71.96
8514560,"Port Jefferson, NY",2.44,40.95,-73.0767
8516945,"Kings Point, NY",2.52,40.8103,-73.7649
8518750,"The Battery, NY",2.84,40.7006,-74.0142
8531680,"Sandy Hook, NJ",4.08,40.4669,-74.0094
8534720,"Atlantic City, NJ",4.08,39.355,-74.4183
8536110,"Cape May, NJ",4.62,38.9683,-74.96
8545240,"Philadelphia, PA",2.94,39.9333,-75.1417
8551910,"Reedy Point, DE",3.6,39.5583,-75.5733
8557380,"Lewes, DE",3.41,38.7817,-75.12
8570283,"Ocean City Inlet, MD",5.73,38.3283,-75.0917
8571892,"Cambridge, MD",3.72,38.5733,-76.0683
8573927,"Chesapeake City, MD",3.92,39.5267,-75.81
8574680,"Baltimore, MD",3.14,39.2667,-76.5783
8575512,"Annapolis, MD",3.53,38.9833,-76.4816
8577330,"Solomons Island, MD",3.72,38.3167,-76.4517
8594900,"Washington, DC",3.24,38.8733,-77.0217
8632200,"Kiptopeke, VA",3.6,37.1652,-75.9884
8635150,"Colonial Beach, VA",4.89,38.2517,-76.96
8635750,"Lewisetta, VA",5.53,37.9961,-76.4644
8637624,"Gloucester Point, VA",3.81,37.2467,-76.5
8638610,"Sewells Point, VA",4.6,36.9467,-76.33
8638660,"Portsmouth, VA",3.76,36.8217,-76.2933
8638863,"Chesapeake Bay Bridge Tunnel, VA",6.02,36.9667,-76.1133
8651370,"Duck, NC",4.62,36.1833,-75.7467
8652587,"Oregon Inlet Marina, NC",3.85,35.795,-75.5483
8656483,"Beaufort, NC",2.83,34.72,-76.67
8658120,"Wilmington, NC",2.1,34.2267,-77.9533
8659084,"Southport, NC",2,33.915,-78.0183
8661070,"Springmaid Pier, SC",3.81,33.655,-78.9183
8665530,"Charleston, SC",3.16,32.7817,-79.925
8670870,"Fort Pulaski, GA",3.07,32.0333,-80.9017
8720030,"Fernandina Beach, FL",2.05,30.6717,-81.465
8720218,"Mayport, FL",2.5,30.3967,-81.43
8721120,"Daytona Beach Shores, FL",2.32,29.1467,-80.9633
8723170,"Miami Beach, FL",2.39,25.7683,-80.1317
8723970,"Vaca Key, FL",3.34,24.7117,-81.105
8724580,"Key West, FL",2.33,24.5557,-81.8079
8725110,"Naples, FL",2.51,26.1317,-81.8075
8725520,"Fort Myers, FL",2.73,26.6477,-81.8712
8726520,"St. Petersburg, FL",2.59,27.7606,-82.6269
8726724,"Clearwater Beach, FL",3.15,27.9783,-82.8317
8727520,"Cedar Key, FL",1.93,29.135,-83.0317
8728690,"Apalachicola, FL",1.82,29.7267,-84.9817
8729108,"Panama City, FL",1.73,30.1523,-85.6669
8729840,"Pensacola, FL",2.21,30.4044,-87.2112
8735180,"Dauphin Island, AL",3.2,30.25,-88.075
8761724,"Grand Isle, LA",9.03,29.2633,-89.9567
8764311,"Eugene Island, LA",9.65,29.3717,-91.385
8770570,"Sabine Pass, TX",5.42,29.7284,-93.8701
8771450,"Galveston Pier 21, TX",6.34,29.31,-94.7933
8771510,"Galveston Pleasure Pier, TX",6.62,29.2853,-94.7894
8772440,"Freeport, TX",4.43,28.9483,-95.3083
8774770,"Rockport, TX",5.27,28.0217,-97.0467
8778490,"Port Mansfield, TX",1.93,26.5546,-97.4221
8779750,"Padre Island, TX",3.48,26.0683,-97.1567
8779770,"Port Isabel, TX",3.79,26.06,-97.215
9410170,"San Diego, CA",2.08,32.7142,-117.1736
9410230,"La Jolla, CA",2.11,32.8667,-117.258
9410580,"Newport Beach, CA",2.22,33.6033,-117.883
9410660,"Los Angeles, CA",0.88,33.72,-118.272
9410840,"Santa Monica, CA",1.43,34.0083,-118.5
9411270,"Rincon Island, CA",3.22,34.3483,-119.443
9411340,"Santa Barbara, CA",0.73,34.4083,-119.685
