"Group.1","x"
1978,11153369
1979,10580600.4166667
1980,10536359.3333333
1981,10303643.5
1982,10675487.1666667
1983,10600304.75
1984,10176483.5833333
1985,10236821.8333333
1986,10440498.1666667
1987,10496327.25
1988,10445800.3333333
1989,10231532.5
1990,9965813.58333333
1991,10039317.3333333
1992,10401243.6666667
1993,10106050.8333333
1994,10269961.3333333
1995,9724369.58333333
1996,10075695.1666667
1997,9909222.5
1998,9917978.08333333
1999,9981959.91666667
2000,9750272.41666667
2001,9860534.58333333
2002,9650871.25
2003,9563780.75
2004,9660294.16666667
2005,9314956.91666667
2006,9088210.33333333
2007,8759927.83333333
2008,9276521.41666667
2009,9267619.41666667
2010,8989698.41666667
2011,8786064.75
2012,8693839.33333333
