FID_,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,ID,Rowid_,GEOID_1,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,06,061,00277295,0500000US06061,06061,Placer,06,3643636599.000000000000000,247086378.000000000000000,0,1,06061,1,65,6499999744.0000000,5.6259847,7.3413815,1.7153969,6.3511472,0.4784749,412.8245850
,09,013,00212668,0500000US09013,09013,Tolland,06,1062460624.000000000000000,17686143.000000000000000,1,2,09013,2,21,2100000000.0000000,3.6783874,3.8422883,0.1639009,3.7630842,0.0494172,79.0247650
,18,043,00450350,0500000US18043,18043,Floyd,06,383154033.000000000000000,2644456.000000000000000,2,3,18043,3,6,600000000.0000000,3.9905076,4.1338716,0.1433640,4.0901570,0.0485756,24.5409431
,21,057,00516875,0500000US21057,21057,Cumberland,06,790416941.000000000000000,14830095.000000000000000,3,4,21057,4,11,1100000000.0000000,3.9470432,4.0092535,0.0622103,3.9701874,0.0233423,43.6720619
,47,069,01639750,0500000US47069,47069,Hardeman,06,1729454851.000000000000000,6823701.000000000000000,4,5,47069,5,27,2700000000.0000000,4.2342772,4.3279495,0.0936723,4.2852297,0.0234999,115.7012024
,41,015,01155129,0500000US41015,41015,Curry,06,4215135002.000000000000000,934685384.000000000000000,5,6,41015,6,82,8200000000.0000000,3.9612339,5.3404608,1.3792269,4.7635136,0.3248697,390.6080933
,30,075,01719584,0500000US30075,30075,Powder River,06,8540010227.000000000000000,1566744.000000000000000,6,7,30075,7,182,18200000512.0000000,5.0036092,5.3160400,0.3124309,5.1614485,0.0741043,939.3836060
,30,081,01719582,0500000US30081,30081,Ravalli,06,6192241995.000000000000000,24239603.000000000000000,7,8,30081,8,127,12700000256.0000000,4.1300159,5.2602472,1.1302314,4.8637376,0.2783907,617.6947021
,05,051,00066855,0500000US05051,05051,Garland,06,1755499327.000000000000000,147165438.000000000000000,8,9,05051,9,33,3300000000.0000000,4.3113141,4.4860034,0.1746893,4.4071527,0.0406694,145.4360352
,13,011,00349230,0500000US13011,13011,Banks,06,601112289.000000000000000,4651150.000000000000000,9,10,13011,10,8,800000000.0000000,4.6238198,4.6574092,0.0335894,4.6432185,0.0129559,37.1457481
,53,015,01529156,0500000US53015,53015,Cowlitz,06,2953144677.000000000000000,67322703.000000000000000,10,11,53015,11,64,6400000000.0000000,2.9837782,3.6055875,0.6218092,3.2414973,0.1361071,207.4558258
,37,059,01008549,0500000US37059,37059,Davie,06,683501093.000000000000000,7616429.000000000000000,11,12,37059,12,10,1000000000.0000000,4.5081758,4.5698261,0.0616503,4.5464354,0.0166372,45.4643517
,31,175,00835909,0500000US31175,31175,Valley,06,1471237308.000000000000000,6242699.000000000000000,12,13,31175,13,25,2500000000.0000000,4.9459028,5.0368443,0.0909414,4.9852052,0.0249591,124.6301270
,31,075,00835859,0500000US31075,31075,Grant,06,2010407808.000000000000000,18130867.000000000000000,13,14,31075,14,39,3900000000.0000000,5.5225015,5.6443787,0.1218772,5.5973125,0.0331905,218.2951813
,17,115,00424256,0500000US17115,17115,Macon,06,1503973612.000000000000000,13409460.000000000000000,14,15,17115,15,26,2600000000.0000000,4.0196829,4.1708465,0.1511636,4.1091690,0.0378340,106.8383942
,18,157,00450393,0500000US18157,18157,Tippecanoe,06,1294484201.000000000000000,8910176.000000000000000,15,16,18157,16,20,2000000000.0000000,3.7298484,3.8421214,0.1122730,3.7771454,0.0340786,75.5429077
,19,197,00465287,0500000US19197,19197,Wright,06,1503286809.000000000000000,4703964.000000000000000,16,17,19197,17,25,2500000000.0000000,4.0770025,4.2022343,0.1252317,4.1477246,0.0336245,103.6931152
,28,159,00695800,0500000US28159,28159,Winston,06,1572731699.000000000000000,7383417.000000000000000,17,18,28159,18,25,2500000000.0000000,4.3994427,4.4523344,0.0528917,4.4304757,0.0150226,110.7619019
,16,061,00395622,0500000US16061,16061,Lewis,06,1240073604.000000000000000,2444433.000000000000000,18,19,16061,19,28,2800000000.0000000,4.6118836,5.1586685,0.5467849,4.7547393,0.1340314,133.1326904
,29,083,00758496,0500000US29083,29083,Henry,06,1805075830.000000000000000,91636440.000000000000000,19,20,29083,20,30,3000000000.0000000,4.4603748,4.5912519,0.1308770,4.5115085,0.0307049,135.3452454
,17,137,00424270,0500000US17137,17137,Morgan,06,1473194632.000000000000000,9064992.000000000000000,20,21,17137,21,25,2500000000.0000000,4.1622257,4.3209972,0.1587715,4.2492919,0.0321773,106.2322922
,17,147,00424275,0500000US17147,17147,Piatt,06,1137477981.000000000000000,723468.000000000000000,21,22,17147,22,18,1800000000.0000000,3.9924810,4.0879474,0.0954664,4.0322523,0.0325321,72.5805435
,18,103,00450373,0500000US18103,18103,Miami,06,968246655.000000000000000,9184648.000000000000000,22,23,18103,23,18,1800000000.0000000,3.6212225,3.6986544,0.0774319,3.6544373,0.0184476,65.7798691
,48,257,01383914,0500000US48257,48257,Kaufman,06,2022005132.000000000000000,69825458.000000000000000,23,24,48257,24,32,3200000000.0000000,4.7416921,4.8657713,0.1240792,4.8232055,0.0287121,154.3425751
,47,077,01639754,0500000US47077,47077,Henderson,06,1346816896.000000000000000,15219341.000000000000000,24,25,47077,25,23,2300000000.0000000,4.2116194,4.2716279,0.0600085,4.2446227,0.0152985,97.6263275
,40,049,01101812,0500000US40049,40049,Garvin,06,2077502830.000000000000000,29941710.000000000000000,25,26,40049,26,33,3300000000.0000000,5.0696397,5.2504115,0.1807718,5.1598520,0.0543020,170.2751160
,04,005,00025443,0500000US04005,04005,Coconino,06,48222462009.000000000000000,109964003.000000000000000,26,27,04005,27,720,71999995904.0000000,7.0704212,7.9815159,0.9110947,7.6149364,0.1645059,5482.7543945
,17,075,00424239,0500000US17075,17075,Iroquois,06,2893771505.000000000000000,4235076.000000000000000,27,28,17075,28,54,5400000000.0000000,3.7320797,3.9735301,0.2414503,3.8672853,0.0616673,208.8334045
,20,025,00484982,0500000US20025,20025,Clark,06,2524286193.000000000000000,6604959.000000000000000,28,29,20025,29,42,4200000000.0000000,5.7393909,5.8757849,0.1363940,5.7999368,0.0410242,243.5973511
