"","NAME","STATE","SUMLEV","REGION","DIVISION","COUNTY","STNAME","CTYNAME","CENSUS2010POP","ESTIMATESBASE2010","POPESTIMATE2010","POPESTIMATE2011","POPESTIMATE2012","POPESTIMATE2013","POPESTIMATE2014","NPOPCHG_2010","NPOPCHG_2011","NPOPCHG_2012","NPOPCHG_2013","NPOPCHG_2014","BIRTHS2010","BIRTHS2011","BIRTHS2012","BIRTHS2013","BIRTHS2014","DEATHS2010","DEATHS2011","DEATHS2012","DEATHS2013","DEATHS2014","NATURALINC2010","NATURALINC2011","NATURALINC2012","NATURALINC2013","NATURALINC2014","INTERNATIONALMIG2010","INTERNATIONALMIG2011","INTERNATIONALMIG2012","INTERNATIONALMIG2013","INTERNATIONALMIG2014","DOMESTICMIG2010","DOMESTICMIG2011","DOMESTICMIG2012","DOMESTICMIG2013","DOMESTICMIG2014","NETMIG2010","NETMIG2011","NETMIG2012","NETMIG2013","NETMIG2014","RESIDUAL2010","RESIDUAL2011","RESIDUAL2012","RESIDUAL2013","RESIDUAL2014","GQESTIMATESBASE2010","GQESTIMATES2010","GQESTIMATES2011","GQESTIMATES2012","GQESTIMATES2013","GQESTIMATES2014","RBIRTH2011","RBIRTH2012","RBIRTH2013","RBIRTH2014","RDEATH2011","RDEATH2012","RDEATH2013","RDEATH2014","RNATURALINC2011","RNATURALINC2012","RNATURALINC2013","RNATURALINC2014","RINTERNATIONALMIG2011","RINTERNATIONALMIG2012","RINTERNATIONALMIG2013","RINTERNATIONALMIG2014","RDOMESTICMIG2011","RDOMESTICMIG2012","RDOMESTICMIG2013","RDOMESTICMIG2014","RNETMIG2011","RNETMIG2012","RNETMIG2013","RNETMIG2014","COUNTYFP","COUNTYNS","AFFGEOID","GEOID","LSAD","ALAND","AWATER","ID","Rowid_","GEOID_1","ZONE_CODE","COUNT","AREA","MIN","MAX","RANGE","MEAN","STD","SUM"
"1","Abbeville","45",50,3,5,1,"South Carolina","Abbeville County",25417,25416,25345,25117,25065,25008,24965,-71,-228,-52,-57,-43,72,228,281,262,250,89,290,252,254,251,-17,-62,29,8,-1,3,17,19,19,19,-58,-171,-101,-93,-50,-55,-154,-82,-74,-31,1,-12,1,9,-11,901,901,901,900,917,917,9.0365027149,11.199234785,10.464721507,10.005402918,11.493797313,10.043441872,10.145188025,10.045424529,-2.457294598,1.1557929138,0.3195334811,-0.040021612,0.6737743252,0.7572436332,0.7588920177,0.7604106217,-6.777377036,-4.025347734,-3.714576718,-2.001080584,-6.103602711,-3.268104101,-2.9556847,-1.240669962,"001","01245666","0500000US45001","45001","06",1270343666,53120029,1560,1472,"45001",1479,20,2e+09,4.64993,4.73144,0.0815077,4.68999,0.0204387,93.7998
"2","Accomack","51",50,3,5,1,"Virginia","Accomack County",33164,33164,33176,33294,33313,33021,33021,12,118,19,-292,0,98,471,459,363,377,145,465,426,414,424,-47,6,33,-51,-47,5,52,65,65,64,53,54,-75,-322,6,58,106,-10,-257,70,1,6,-4,16,-23,428,428,428,428,429,429,14.17180683,13.78233519,10.944613622,11.416977075,13.991274259,12.791448346,12.48228661,12.84031374,0.1805325711,0.9908868437,-1.537672988,-1.423336665,1.5646156161,1.9517468134,1.9597792987,1.9381605645,1.6247931398,-2.252015554,-9.708445141,0.1817025529,3.1894087558,-0.300268741,-7.748665843,2.1198631174,"001","01480091","0500000US51001","51001","06",1164201142,2228780620,1172,1097,"51001",1103,24,2.4e+09,4.33392,4.52916,0.195247,4.41221,0.0423033,105.893
"3","Ada","16",50,4,8,1,"Idaho","Ada County",392365,392365,393412,401100,408891,416556,426236,1047,7688,7791,7665,9680,1265,5150,5030,5123,5124,485,2504,2551,2480,2563,780,2646,2479,2643,2561,163,643,729,776,770,142,4087,4597,4556,5881,305,4730,5326,5332,6651,-38,312,-14,-310,468,9714,9671,9934,9970,10090,10088,12.963932577,12.419891085,12.41266853,12.159583859,6.303240228,6.2988354192,6.0088654995,6.0821649944,6.6606923495,6.1210556661,6.4038030304,6.0774188649,1.6186036208,1.8000200002,1.8801933982,1.8272598696,10.288076203,11.350743403,11.038867426,13.955993887,11.906679824,13.150763404,12.919060824,15.783253757,"001","00395066","0500000US16001","16001","06",2726171720,20410925,2075,1977,"16001",1985,52,5.2e+09,5.93497,6.23074,0.295768,6.03801,0.0712034,313.977
"4","Adair","19",50,2,4,1,"Iowa","Adair County",7682,7682,7693,7588,7515,7463,7454,11,-105,-73,-52,-9,38,66,80,67,68,16,116,104,109,91,22,-50,-24,-42,-23,0,0,0,0,0,-7,-70,-50,-15,21,-7,-70,-50,-15,21,-4,15,1,5,-7,151,151,151,158,162,163,8.6381781297,10.593921737,8.9464548004,9.1171147013,15.18225247,13.772098259,14.554680198,12.200844674,-6.544074341,-3.178176521,-5.608225397,-3.083729973,0,0,0,0,-9.161704077,-6.621201086,-2.002937642,2.8155795401,-9.161704077,-6.621201086,-2.002937642,2.8155795401,"001","00465190","0500000US19001","19001","06",1474404174,2597996,1982,1886,"19001",1894,25,2.5e+09,4.32197,4.40677,0.0847988,4.36021,0.027931,109.005
"5","Adair","21",50,3,6,1,"Kentucky","Adair County",18656,18656,18871,18979,18971,19135,19204,215,108,-8,164,69,46,193,176,236,225,31,186,187,203,208,15,7,-11,33,17,1,6,7,8,8,181,100,-2,129,59,182,106,5,137,67,18,-5,-2,-6,-15,1055,1301,1314,1365,1408,1408,10.198150594,9.2753623188,12.386500814,11.737395342,9.8282694848,9.8550724638,10.654490107,10.850569916,0.3698811096,-0.579710145,1.732010707,0.8868254258,0.3170409511,0.3689064559,0.4198813835,0.4173296121,5.284015852,-0.105401845,6.7705873091,3.0778058896,5.6010568032,0.2635046113,7.1904686926,3.4951355017,"001","00516847","0500000US21001","21001","06",1049678317,18430780,994,926,"21001",931,17,1.7e+09,3.90496,4.01426,0.109297,3.98533,0.0238459,67.7506
"6","Adair","29",50,2,4,1,"Missouri","Adair County",25607,25607,25619,25607,25671,25713,25602,12,-12,64,42,-111,73,244,274,242,250,29,205,219,210,190,44,39,55,32,60,17,83,85,95,95,-46,-122,-73,-73,-261,-29,-39,12,22,-166,-3,-12,-3,-12,-5,2900,2900,2900,2901,2903,2905,9.5264123687,10.686844261,9.4192744823,9.7437396473,8.0037480967,8.5416747923,8.1737505838,7.4052421319,1.522664272,2.1451694684,1.2455238985,2.3384975153,3.2405419123,3.3152619057,3.6976490736,3.702621066,-4.763206184,-2.847224931,-2.841351393,-10.17246419,-1.522664272,0.4680369749,0.8562976802,-6.469843126,"001","00765805","0500000US29001","29001","06",1469362098,5468494,635,592,"29001",594,25,2.5e+09,4.31883,4.38446,0.065629,4.35325,0.0161599,108.831
"7","Adair","40",50,3,7,1,"Oklahoma","Adair County",22683,22683,22720,22513,22248,22235,22186,37,-207,-265,-13,-49,52,234,281,356,342,24,199,251,261,274,28,35,30,95,68,0,0,0,1,1,13,-238,-298,-123,-115,13,-238,-298,-122,-114,-4,-4,3,14,-3,92,92,92,92,92,92,10.346428492,12.555572932,16.006114696,15.39812251,8.7988857692,11.215120306,11.734820044,12.336507508,1.5475427232,1.3404526262,4.2712946519,3.0616150019,0,0,0.0449609963,0.04502375,-10.52329052,-13.31516275,-5.530202549,-5.177731253,-10.52329052,-13.31516275,-5.485241553,-5.132707503,"001","01101788","0500000US40001","40001","06",1485305052,9254775,153,146,"40001",147,25,2.5e+09,4.64636,4.75717,0.110806,4.71887,0.0248853,117.972
"8","Adams","08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"001","00198116","0500000US08001","08001","06",3023994956,41935475,2642,2517,"08001",2528,55,5.5e+09,5.97026,6.12613,0.155872,6.04939,0.0381799,332.716
"9","Adams","16",50,4,8,3,"Idaho","Adams County",3976,3976,3956,3982,3908,3831,3861,-20,26,-74,-77,30,10,18,33,32,29,3,38,28,26,20,7,-20,5,6,9,0,0,0,0,0,-27,46,-80,-52,18,-27,46,-80,-52,18,0,0,1,-31,3,21,21,21,21,21,21,4.5351473923,8.3650190114,8.2698023,7.5403016121,9.5742000504,7.0975918885,6.7192143688,5.2002080083,-5.039052658,1.2674271229,1.5505879313,2.3400936037,0,0,0,0,11.589821114,-20.27883397,-13.43842874,4.6801872075,11.589821114,-20.27883397,-13.43842874,4.6801872075,"003","00395067","0500000US16003","16003","06",3530315987,17384868,1373,1288,"16003",1295,72,7.2e+09,4.76787,5.7658,0.997928,5.29821,0.261914,381.471
"10","Adams","17",50,2,3,1,"Illinois","Adams County",67103,67103,67162,67172,67199,67046,66988,59,10,27,-153,-58,209,813,807,777,771,153,769,797,776,792,56,44,10,1,-21,3,12,11,13,13,2,-42,13,-224,-83,5,-30,24,-211,-70,-2,-4,-7,57,33,2287,2287,2286,2285,2284,2283,12.104158292,12.011520343,11.575850125,11.504543623,11.449074694,11.862678703,11.560951991,11.817896952,0.6550835976,0.1488416399,0.014898134,-0.313353328,0.178659163,0.1637258039,0.1936757421,0.1939806318,-0.62530707,0.1934941319,-3.337182018,-1.238491726,-0.446647907,0.3572199358,-3.143506276,-1.044511094,"001","00424202","0500000US17001","17001","06",2214972291,41784377,1992,1895,"17001",1903,41,4.1e+09,4.16556,4.30743,0.141874,4.23492,0.0402713,173.632
