"DATE","WS_2","WS_3","YEAR"
1962-01-01,1,1,"1962"
1962-01-02,0,0,"1962"
1962-01-03,2.8,2.8,"1962"
1962-01-04,1.5,1.5,"1962"
1962-01-05,3.6,3.3,"1962"
1962-01-06,23.6,23.9,"1962"
1962-01-07,7.4,7.4,"1962"
1962-01-08,0.5,0.5,"1962"
1962-01-09,0,0,"1962"
1962-01-10,0,0,"1962"
1962-01-11,0,0,"1962"
1962-01-12,0,0,"1962"
1962-01-13,0,0,"1962"
1962-01-14,0,0,"1962"
1962-01-15,27.4,28.7,"1962"
1962-01-16,1.3,1.3,"1962"
1962-01-17,0.5,0.5,"1962"
1962-01-18,0,0,"1962"
1962-01-19,0,0,"1962"
1962-01-20,1,1,"1962"
1962-01-21,0,0,"1962"
1962-01-22,0.3,0.3,"1962"
1962-01-23,0.8,0.8,"1962"
1962-01-24,0,0,"1962"
1962-01-25,0,0,"1962"
1962-01-26,8.4,7.9,"1962"
1962-01-27,3.6,3.3,"1962"
1962-01-28,0,0,"1962"
1962-01-29,0,0,"1962"
1962-01-30,5.3,5.1,"1962"
1962-01-31,0,0,"1962"
1962-02-01,1.5,1.5,"1962"
1962-02-02,1.5,1.5,"1962"
1962-02-03,15.7,15.7,"1962"
1962-02-04,0,0,"1962"
1962-02-05,0,0,"1962"
1962-02-06,0.5,0.3,"1962"
1962-02-07,0,0,"1962"
1962-02-08,0,0,"1962"
1962-02-09,1.8,1.8,"1962"
1962-02-10,2.8,2.5,"1962"
1962-02-11,0.5,0.3,"1962"
1962-02-12,0,0,"1962"
1962-02-13,0,0,"1962"
1962-02-14,4.1,3.6,"1962"
1962-02-15,4.3,3.8,"1962"
1962-02-16,1,1,"1962"
1962-02-17,2.5,2.3,"1962"
1962-02-18,0,0,"1962"
1962-02-19,14.5,15.2,"1962"
1962-02-20,2,2,"1962"
1962-02-21,0,0,"1962"
1962-02-22,7.1,6.9,"1962"
1962-02-23,0.5,0.5,"1962"
1962-02-24,26.7,25.9,"1962"
1962-02-25,0,0,"1962"
1962-02-26,11.4,12.2,"1962"
1962-02-27,0,0,"1962"
1962-02-28,10.2,11.2,"1962"
1962-03-01,1.5,1.5,"1962"
1962-03-02,0,0,"1962"
1962-03-03,1,1,"1962"
1962-03-04,0.5,0.8,"1962"
1962-03-05,0.8,1,"1962"
1962-03-06,0,0,"1962"
