"DATE","WS_2","WS_3","YEAR"
1962-01-01,0.309,0.246,"1962"
1962-01-02,0.3,0.25,"1962"
1962-01-03,0.29,0.249,"1962"
1962-01-04,0.283,0.237,"1962"
1962-01-05,0.276,0.211,"1962"
1962-01-06,0.679,0.441,"1962"
1962-01-07,1.278,1.016,"1962"
1962-01-08,0.86,0.623,"1962"
1962-01-09,0.717,0.485,"1962"
1962-01-10,0.614,0.43,"1962"
1962-01-11,0.559,0.404,"1962"
1962-01-12,0.484,0.357,"1962"
1962-01-13,0.43,0.301,"1962"
1962-01-14,0.384,0.267,"1962"
1962-01-15,6.431,5.142,"1962"
1962-01-16,10.967,8.573,"1962"
1962-01-17,2.813,2.855,"1962"
1962-01-18,1.404,1.492,"1962"
1962-01-19,1.094,1.143,"1962"
1962-01-20,1.008,0.984,"1962"
1962-01-21,0.889,0.808,"1962"
1962-01-22,0.809,0.78,"1962"
1962-01-23,0.791,0.764,"1962"
1962-01-24,0.676,0.685,"1962"
1962-01-25,0.585,0.628,"1962"
1962-01-26,0.573,0.549,"1962"
1962-01-27,0.578,0.578,"1962"
1962-01-28,0.446,0.472,"1962"
1962-01-29,0.403,0.396,"1962"
1962-01-30,0.438,0.375,"1962"
1962-01-31,0.445,0.386,"1962"
1962-02-01,0.411,0.386,"1962"
1962-02-02,0.355,0.389,"1962"
1962-02-03,0.381,0.405,"1962"
1962-02-04,0.381,0.398,"1962"
1962-02-05,0.397,0.411,"1962"
1962-02-06,0.605,0.612,"1962"
1962-02-07,0.51,0.444,"1962"
1962-02-08,0.438,0.389,"1962"
1962-02-09,0.372,0.382,"1962"
1962-02-10,0.336,0.369,"1962"
1962-02-11,0.318,0.347,"1962"
1962-02-12,0.329,0.321,"1962"
1962-02-13,0.331,0.306,"1962"
1962-02-14,0.308,0.304,"1962"
1962-02-15,0.279,0.306,"1962"
1962-02-16,0.275,0.303,"1962"
1962-02-17,0.29,0.316,"1962"
1962-02-18,0.259,0.292,"1962"
1962-02-19,0.286,0.281,"1962"
